base_process_variant,flip_p,subsample_step,k,process,reconstructor,representation,logloss_mean,logloss_std,n_states_mean,n_states_std,C_mu_empirical_mean,C_mu_empirical_std,unifilarity_score_mean,unifilarity_score_std,branch_entropy_mean,branch_entropy_std
even_process,0.01,2,5,even_process_flip0.01_sub2,one_step_greedy_merge,last_5,0.469388449063518,0.002149064372845755,8.8,0.44721359549995787,1.6930885138503649,0.03524637222074102,0.873760532039903,0.02514671120406501,0.3828253660523272,0.06956177622153638
even_process,0.01,2,6,even_process_flip0.01_sub2,one_step_greedy_merge,last_6,0.47007603003982695,0.002520422370403528,11.8,1.3038404810405297,1.848069734904459,0.060401790165845265,0.8310402160189015,0.01665842077666287,0.5794802188520405,0.05004796995167075
even_process,0.01,2,7,even_process_flip0.01_sub2,one_step_greedy_merge,last_7,0.4726614142789389,0.004977733332681309,15.0,1.5811388300841898,1.9923589900835907,0.08405160237552343,0.7528827882788278,0.025486248378307704,0.8120398332423635,0.052252378722949404
even_process,0.01,2,8,even_process_flip0.01_sub2,one_step_greedy_merge,last_8,0.47718398679332774,0.007229063935718458,17.4,1.9493588689617922,2.118820614661662,0.06439635431402986,0.6886924779037642,0.04782415954417158,1.1082525708711652,0.07800726066649424
even_process,0.01,4,1,even_process_flip0.01_sub4,one_step_greedy_merge,last_1,0.47580753090880207,0.005167967234755534,2.0,0.0,0.47595380214366223,0.0012878380680834839,1.0,0.0,0.0,0.0
even_process,0.01,4,2,even_process_flip0.01_sub4,one_step_greedy_merge,last_2,0.47577483577484436,0.0051758725540727996,2.2,0.4472135954999579,0.5560558541962428,0.17987886327660696,1.0,0.0,0.0,0.0
even_process,0.01,4,3,even_process_flip0.01_sub4,one_step_greedy_merge,last_3,0.47590088987744467,0.005201150047365166,3.2,0.8366600265340756,0.6958001608894132,0.19711392152188537,0.9682618261826181,0.0290112436743995,0.12906703707633585,0.11790111492163603
even_process,0.01,4,4,even_process_flip0.01_sub4,one_step_greedy_merge,last_4,0.47594508121186907,0.005058379113929628,4.6,0.8944271909999157,0.9094724469926705,0.28333254917288586,0.9366170771346418,0.035778467752086957,0.22788557201201348,0.108665457840494
even_process,0.01,4,5,even_process_flip0.01_sub4,one_step_greedy_merge,last_5,0.4778519123642345,0.0033293037817209367,8.2,0.8366600265340755,1.118777488940581,0.13270702006120325,0.8407811171675752,0.09501748019878112,0.5946732812483846,0.2712382461694451
even_process,0.01,4,6,even_process_flip0.01_sub4,one_step_greedy_merge,last_6,0.48305098508497446,0.006271365323196133,12.8,0.44721359549995804,1.28762818296497,0.10588134886372165,0.7627684844847848,0.07519518327188345,0.9237792730280875,0.22208368881262844
