seed,process,representation,reconstructor,logloss,n_states,C_mu_empirical,unifilarity_score,branch_entropy,condition_folder,base_process_variant,flip_p,subsample_step,k
0,even_process_flip0.01_sub2,last_3,one_step_greedy_merge,0.4712622281510425,5,1.2360698133491552,0.9980874043702184,0.0089182022189579,even_process_flip0.01_sub2,even_process,0.01,2,3
0,even_process_flip0.01_sub2,last_4,one_step_greedy_merge,0.4723110083735806,7,1.4519539643950128,0.862203887742984,0.3381466316130159,even_process_flip0.01_sub2,even_process,0.01,2,4
0,even_process_flip0.01_sub2,last_5,one_step_greedy_merge,0.4722161178002241,9,1.684983035835345,0.8661149586218967,0.4233588865506723,even_process_flip0.01_sub2,even_process,0.01,2,5
0,even_process_flip0.01_sub2,last_6,one_step_greedy_merge,0.4739630087917145,13,1.832525655263812,0.8299976247921693,0.6340015987362195,even_process_flip0.01_sub2,even_process,0.01,2,6
0,even_process_flip0.01_sub2,last_7,one_step_greedy_merge,0.4775796220270781,15,1.9587414613989649,0.7927042704270427,0.7505794575287659,even_process_flip0.01_sub2,even_process,0.01,2,7
0,even_process_flip0.01_sub2,last_8,one_step_greedy_merge,0.4811972575842537,19,2.1971527801221336,0.6407595854533635,1.19546313919534,even_process_flip0.01_sub2,even_process,0.01,2,8
1,even_process_flip0.01_sub2,last_1,one_step_greedy_merge,0.469674918796699,2,0.4754136824752742,1.0,0.0,even_process_flip0.01_sub2,even_process,0.01,2,1
1,even_process_flip0.01_sub2,last_2,one_step_greedy_merge,0.4677776732779615,3,0.8854351467387298,1.0,0.0,even_process_flip0.01_sub2,even_process,0.01,2,2
1,even_process_flip0.01_sub2,last_3,one_step_greedy_merge,0.466707242804094,5,1.2355392821182771,0.9980749037451871,0.008880312761442,even_process_flip0.01_sub2,even_process,0.01,2,3
1,even_process_flip0.01_sub2,last_4,one_step_greedy_merge,0.4678339590649203,7,1.3444800548406015,0.9014813425839115,0.2417418092681902,even_process_flip0.01_sub2,even_process,0.01,2,4
1,even_process_flip0.01_sub2,last_5,one_step_greedy_merge,0.4678146182265498,9,1.6824272069666122,0.8715403655274145,0.3810736034181706,even_process_flip0.01_sub2,even_process,0.01,2,5
1,even_process_flip0.01_sub2,last_6,one_step_greedy_merge,0.4677933271799919,13,1.888076111324462,0.8406110534671783,0.5433150012920682,even_process_flip0.01_sub2,even_process,0.01,2,6
1,even_process_flip0.01_sub2,last_7,one_step_greedy_merge,0.4682436413236184,17,2.049316840839541,0.7284353435343535,0.8147152707122982,even_process_flip0.01_sub2,even_process,0.01,2,7
1,even_process_flip0.01_sub2,last_8,one_step_greedy_merge,0.4710169381439698,20,2.173836623668121,0.7424585265842407,1.0167396073087258,even_process_flip0.01_sub2,even_process,0.01,2,8
2,even_process_flip0.01_sub2,last_1,one_step_greedy_merge,0.4725372144430562,2,0.4759938171394067,1.0,0.0,even_process_flip0.01_sub2,even_process,0.01,2,1
2,even_process_flip0.01_sub2,last_2,one_step_greedy_merge,0.470466497647163,3,0.8859469567451266,1.0,0.0,even_process_flip0.01_sub2,even_process,0.01,2,2
2,even_process_flip0.01_sub2,last_3,one_step_greedy_merge,0.4697902025467773,4,1.2259128215171526,0.9961873093654684,0.023903714594746,even_process_flip0.01_sub2,even_process,0.01,2,3
2,even_process_flip0.01_sub2,last_4,one_step_greedy_merge,0.4694860487078715,6,1.5145354789248762,0.9543221451340708,0.2022798448016061,even_process_flip0.01_sub2,even_process,0.01,2,4
2,even_process_flip0.01_sub2,last_5,one_step_greedy_merge,0.4692284193247429,9,1.7547381923309868,0.8372377928344625,0.4729215985421153,even_process_flip0.01_sub2,even_process,0.01,2,5
2,even_process_flip0.01_sub2,last_6,one_step_greedy_merge,0.4692303652038271,10,1.882032342572714,0.8351855787381396,0.6230316410828557,even_process_flip0.01_sub2,even_process,0.01,2,6
2,even_process_flip0.01_sub2,last_7,one_step_greedy_merge,0.4693111955681264,16,2.084837651483983,0.7626762676267627,0.8366723761001643,even_process_flip0.01_sub2,even_process,0.01,2,7
2,even_process_flip0.01_sub2,last_8,one_step_greedy_merge,0.4697214205806948,16,2.0916847995266257,0.7047667862634547,1.0602943665433078,even_process_flip0.01_sub2,even_process,0.01,2,8
3,even_process_flip0.01_sub2,last_1,one_step_greedy_merge,0.4702798526119753,2,0.4746073140512011,1.0,0.0,even_process_flip0.01_sub2,even_process,0.01,2,1
3,even_process_flip0.01_sub2,last_2,one_step_greedy_merge,0.4683107375126686,3,0.883867016215478,1.0,0.0,even_process_flip0.01_sub2,even_process,0.01,2,2
3,even_process_flip0.01_sub2,last_3,one_step_greedy_merge,0.4674787054325187,5,1.2781905243940843,0.9998249912495624,0.0014064076145296,even_process_flip0.01_sub2,even_process,0.01,2,3
3,even_process_flip0.01_sub2,last_4,one_step_greedy_merge,0.4670050711011086,6,1.424840800747029,0.8675417213575849,0.3229459513941075,even_process_flip0.01_sub2,even_process,0.01,2,4
