obs_std,seed,method,method_param,n_states,ari_slow,ari_fast,ari_joint,gaussian_logloss,elapsed_s
0.25,1,kalman_predictive_kmeans,12.0,12,0.15550355015039577,0.00010112300001725844,0.1060982687204659,3.153481872677353,0.5333002349361777
0.25,1,kalman_predictive_kmeans,18.0,18,0.11935187844123787,2.8047118321653176e-05,0.08967681288382796,3.153481872677353,0.6996066747233272
0.25,1,obs_pca_kmeans,3.0,3,0.0002913804484523715,0.0005514574912621267,0.00016808007965566922,3.153481872677353,0.05097653716802597
0.25,1,obs_pca_kmeans,6.0,6,0.0008671862576679104,0.19165450956471936,0.10207766708072676,3.153481872677353,0.06393052358180285
0.25,1,obs_pca_kmeans,9.0,9,8.254191595874853e-05,0.12493258701538253,0.07600727070116765,3.153481872677353,0.09896039869636297
0.25,1,obs_pca_kmeans,12.0,12,-5.467139683409734e-06,0.10430835760373282,0.06805176523467535,3.153481872677353,0.3635878683999181
0.25,1,obs_pca_kmeans,18.0,18,3.152092424785945e-05,0.09638692433205918,0.07059626866910121,3.153481872677353,0.36307130195200443
0.25,1,history_kmeans,3.0,3,0.00411120663156075,-0.0001736272770407399,0.0016527976660572381,3.153481872677353,0.13609660416841507
0.25,1,history_kmeans,6.0,6,0.005278034513439043,0.00987391256264304,0.008406792795401892,3.153481872677353,0.723120897077024
0.25,1,history_kmeans,9.0,9,0.05739474793499888,0.010037736685519275,0.04434322996353004,3.153481872677353,1.3837058199569583
0.25,1,history_kmeans,12.0,12,0.04674261130508848,0.015612164640462903,0.04393450968508438,3.153481872677353,1.4277595672756433
0.25,1,history_kmeans,18.0,18,0.04009843989327301,0.011947617642670334,0.041817157365898194,3.153481872677353,2.21337544452399
0.25,2,kalman_predictive_single,0.25,1817,0.01410631031834524,3.8207151162895124e-05,0.008128130144860036,3.1917079163602593,1.0590905817225575
0.25,2,kalman_predictive_single,0.35,742,0.004881732771514121,0.00014588138607423565,0.0016420203930881919,3.1917079163602593,1.0917587401345372
0.25,2,kalman_predictive_single,0.5,233,-0.00014916767205097232,1.4750869259183525e-05,-9.166402725160811e-05,3.1917079163602593,1.064517260529101
0.25,2,kalman_predictive_kmeans,3.0,3,0.41060304207471454,-0.0003670187755548926,0.16149297885408376,3.1917079163602593,0.020789832808077335
0.25,2,kalman_predictive_kmeans,6.0,6,0.23345289193088264,-0.00016148274992219515,0.12522293766019624,3.1917079163602593,0.11554308794438839
0.25,2,kalman_predictive_kmeans,9.0,9,0.19073735883799472,5.3187797212139e-06,0.11877704766365044,3.1917079163602593,0.3268573321402073
0.25,2,kalman_predictive_kmeans,12.0,12,0.1487670511680459,0.00016423095579734602,0.10092754387683614,3.1917079163602593,0.5606572180986404
0.25,2,kalman_predictive_kmeans,18.0,18,0.10424925298762497,0.0001100373858257145,0.0786295866094174,3.1917079163602593,0.636981169693172
0.25,2,obs_pca_kmeans,3.0,3,0.00012125630465633123,-9.31868029226057e-05,-0.00013811810631292044,3.1917079163602593,0.020914966240525246
0.25,2,obs_pca_kmeans,6.0,6,6.764568861640524e-05,0.18297145104172516,0.09664941404701313,3.1917079163602593,0.0627477876842022
0.25,2,obs_pca_kmeans,9.0,9,-0.00020965213394927634,0.12316263716055229,0.07505480533734087,3.1917079163602593,0.12469218298792839
0.25,2,obs_pca_kmeans,12.0,12,-0.00015414520878774638,0.10735084599279525,0.07054432247793979,3.1917079163602593,0.12231959402561188
0.25,2,obs_pca_kmeans,18.0,18,-8.671861350689345e-05,0.09848735554358953,0.07149320089535605,3.1917079163602593,0.17838414944708347
0.25,2,history_kmeans,3.0,3,0.0020195161407549206,2.8786302630820863e-05,0.0006479494784722179,3.1917079163602593,0.10685291700065136
0.25,2,history_kmeans,6.0,6,0.0019099329800730555,0.008874570732328712,0.005837598116902162,3.1917079163602593,1.0562450606375933
0.25,2,history_kmeans,9.0,9,0.007094630875924483,0.009992225272313028,0.010539921835451242,3.1917079163602593,0.900080094113946
0.25,2,history_kmeans,12.0,12,0.009340807489980948,0.01002697424376657,0.013702384706651036,3.1917079163602593,1.4786291308701038
0.25,2,history_kmeans,18.0,18,0.02465294419207448,0.010715401756357604,0.028557288717779433,3.1917079163602593,1.8748355340212584
0.25,3,kalman_predictive_single,0.25,1954,0.01940456993531271,0.0001319003816396368,0.012938155398380388,3.261175795675222,1.1051415465772152
0.25,3,kalman_predictive_single,0.35,841,0.008256920493772779,-0.00011326958059344167,0.0027610380995183054,3.261175795675222,1.0878334660083055
